City1,City2,Distance
"Louisville, KY","Orlando, FL",719.0
"Kansas City, MO","Orlando, FL",1072.0
"Houston, TX","Philadelphia, PA",1335.0
"Knoxville, TN","Orlando, FL",532.0
"Chicago, IL","Las Vegas, NV",1521.0
"Phoenix, AZ","Sacramento, CA",647.0
"Denver, CO","Fayetteville, AR",616.0
"Ontario, CA","Sacramento, CA",390.0
"Las Vegas, NV","Milwaukee, WI",1524.0
"Hartford, CT","Orlando, FL",1050.0
"Chicago, IL","Phoenix, AZ",1444.0
"Fort Myers, FL","Providence, RI",1200.0
"Miami, FL","Newburgh/Poughkeepsie, NY",1139.0
"Dallas/Fort Worth, TX","Miami, FL",1121.0
"Baltimore, MD","Denver, CO",1491.0
"El Paso, TX","Orlando, FL",1516.0
"Orlando, FL","Pittsburgh, PA",834.0
"Knoxville, TN","Sanford, FL",511.0
"Sarasota/Bradenton, FL","Washington, DC",851.0
"Louisville, KY","Sarasota/Bradenton, FL",765.0
"Flint, MI","Sanford, FL",988.0
"Concord, NC","St. Petersburg, FL",528.0
"Las Vegas, NV","Stockton, CA",359.0
"Fargo, ND","Las Vegas, NV",1205.0
"Niagara Falls, NY","Punta Gorda, FL",1129.0
"Grand Rapids, MI","St. Petersburg, FL",1044.0
"Evansville, IN","Sanford, FL",734.0
"Dayton, OH","Punta Gorda, FL",904.0
"Niagara Falls, NY","St. Petersburg, FL",1069.0
"Peoria, IL","Phoenix, AZ",1312.0
"St. Petersburg, FL","Wichita, KS",1087.0
"Las Vegas, NV","Mission/McAllen/Edinburg, TX",1210.0
"Harrisburg, PA","Punta Gorda, FL",963.0
"Phoenix, AZ","Sioux Falls, SD",1081.0
"Fresno, CA","Las Vegas, NV",259.0
"Fargo, ND","Phoenix, AZ",1225.0
"Kansas City, MO","Sanford, FL",1058.0
"Austin, TX","Fayetteville, AR",462.0
"Boston, MA","Grand Rapids, MI",740.0
"St. Petersburg, FL","Toledo, OH",945.0
"Asheville, NC","St. Petersburg, FL",519.0
"Las Vegas, NV","Springfield, MO",1209.0
"Allentown/Bethlehem/Easton, PA","Punta Gorda, FL",1018.0
"Cincinnati, OH","West Palm Beach/Palm Beach, FL",892.0
"Sioux Falls, SD","St. Petersburg, FL",1334.0
"Eugene, OR","Las Vegas, NV",700.0
"Hagerstown, MD","Sanford, FL",780.0
"Columbus, OH","Punta Gorda, FL",890.0
"Asheville, NC","Sanford, FL",465.0
"Memphis, TN","St. Petersburg, FL",653.0
"Cedar Rapids/Iowa City, IA","Phoenix, AZ",1252.0
"Grand Rapids, MI","Sarasota/Bradenton, FL",1080.0
"Cedar Rapids/Iowa City, IA","St. Petersburg, FL",1090.0
"Punta Gorda, FL","Richmond, VA",779.0
"Indianapolis, IN","St. Petersburg, FL",840.0
"Phoenix, AZ","St. Cloud, MN",1259.0
"Providence, RI","Punta Gorda, FL",1184.0
"Greensboro/High Point, NC","Sanford, FL",510.0
"Cincinnati, OH","Phoenix, AZ",1569.0
"Knoxville, TN","St. Petersburg, FL",550.0
"Bangor, ME","Sanford, FL",1299.0
"Missoula, MT","Phoenix, AZ",948.0
"Medford, OR","Santa Ana, CA",659.0
"Sanford, FL","Sioux Falls, SD",1334.0
"Bloomington/Normal, IL","Sanford, FL",917.0
"Portsmouth, NH","Sanford, FL",1144.0
"Allentown/Bethlehem/Easton, PA","Sanford, FL",882.0
"Fort Wayne, IN","St. Petersburg, FL",912.0
"Eugene, OR","Palm Springs, CA",796.0
"Omaha, NE","Punta Gorda, FL",1269.0
"Fort Lauderdale, FL","Harrisburg, PA",993.0
"Los Angeles, CA","Medford, OR",630.0
"Fort Wayne, IN","Sarasota/Bradenton, FL",948.0
"Key West, FL","Sanford, FL",292.0
"Albany, NY","St. Petersburg, FL",1138.0
"Lexington, KY","Punta Gorda, FL",781.0
"Pittsburgh, PA","Sanford, FL",809.0
"Minneapolis, MN","Punta Gorda, FL",1386.0
"Moline, IL","Punta Gorda, FL",1113.0
"Jacksonville, FL","Washington, DC",634.0
"Nashville, TN","Punta Gorda, FL",692.0
"Cedar Rapids/Iowa City, IA","Sanford, FL",1078.0
"Las Vegas, NV","Pasco/Kennewick/Richland, WA",732.0
"Oklahoma City, OK","Sanford, FL",1061.0
"Punta Gorda, FL","Raleigh/Durham, NC",645.0
"Las Vegas, NV","Rapid City, SD",843.0
"Peoria, IL","St. Petersburg, FL",965.0
"Fargo, ND","St. Petersburg, FL",1519.0
"Phoenix, AZ","Wichita, KS",870.0
"Fort Wayne, IN","Punta Gorda, FL",986.0
"Austin, TX","Santa Ana, CA",1209.0
"Santa Ana, CA","Sioux Falls, SD",1326.0
"Indianapolis, IN","Palm Springs, CA",1716.0
"Cedar Rapids/Iowa City, IA","Nashville, TN",481.0
"Dayton, OH","St. Petersburg, FL",831.0
"Los Angeles, CA","Springfield, MO",1423.0
"Rochester, NY","Sanford, FL",1009.0
"Flint, MI","St. Petersburg, FL",1040.0
"Punta Gorda, FL","Syracuse, NY",1164.0
"Las Vegas, NV","Santa Maria, CA",310.0
"Harrisburg, PA","Sarasota/Bradenton, FL",942.0
"Eugene, OR","Santa Ana, CA",776.0
"Bozeman, MT","Las Vegas, NV",701.0
"Appleton, WI","Las Vegas, NV",1510.0
"Pittsburgh, PA","Punta Gorda, FL",941.0
"Punta Gorda, FL","Toledo, OH",1016.0
"Nashville, TN","St. Petersburg, FL",612.0
"Concord, NC","Punta Gorda, FL",588.0
"Austin, TX","Indianapolis, IN",919.0
"Phoenix, AZ","Rapid City, SD",876.0
"Moline, IL","Phoenix, AZ",1288.0
"Fort Lauderdale, FL","Plattsburgh, NY",1334.0
"Asheville, NC","Fort Lauderdale, FL",661.0
"Austin, TX","Cincinnati, OH",958.0
"Las Vegas, NV","Shreveport, LA",1243.0
"Houston, TX","Lexington, KY",828.0
"Sarasota/Bradenton, FL","South Bend, IN",1009.0
"Grand Island, NE","Las Vegas, NV",971.0
"Nashville, TN","Sarasota/Bradenton, FL",648.0
"Pittsburgh, PA","West Palm Beach/Palm Beach, FL",952.0
"Los Angeles, CA","Omaha, NE",1330.0
"Bellingham, WA","Phoenix, AZ",1208.0
"Fort Lauderdale, FL","Greer, SC",620.0
"Concord, NC","Fort Lauderdale, FL",643.0
"Melbourne, FL","Pittsburgh, PA",854.0
"Eugene, OR","Los Angeles, CA",748.0
"Belleville, IL","Sanford, FL",835.0
"Punta Gorda, FL","Springfield, MO",975.0
"Punta Gorda, FL","Sioux Falls, SD",1415.0
"Nashville, TN","Palm Springs, CA",1693.0
"Chicago, IL","Valparaiso, FL",796.0
"Las Vegas, NV","Missoula, MT",750.0
"Phoenix, AZ","Rockford, IL",1373.0
"Fort Wayne, IN","Phoenix, AZ",1546.0
"Punta Gorda, FL","Rockford, IL",1127.0
"Indianapolis, IN","Key West, FL",1078.0
"Des Moines, IA","Sanford, FL",1124.0
"Peoria, IL","Sanford, FL",949.0
"Asheville, NC","Punta Gorda, FL",588.0
"Austin, TX","Punta Gorda, FL",979.0
"Cincinnati, OH","Punta Gorda, FL",850.0
"Asheville, NC","Las Vegas, NV",1824.0
"Harrisburg, PA","St. Petersburg, FL",912.0
"Palm Springs, CA","Provo, UT",514.0
"Idaho Falls, ID","Portland, OR",539.0
"Bozeman, MT","Phoenix, AZ",861.0
"Las Vegas, NV","Moline, IL",1376.0
"Bismarck/Mandan, ND","Sanford, FL",1628.0
"Belleville, IL","Punta Gorda, FL",921.0
"Flint, MI","Phoenix, AZ",1650.0
"Ashland, WV","Sanford, FL",665.0
"Kalispell, MT","Phoenix, AZ",1044.0
"Des Moines, IA","Punta Gorda, FL",1206.0
"Asheville, NC","Minneapolis, MN",861.0
"Moline, IL","Sanford, FL",1018.0
"Phoenix, AZ","Santa Maria, CA",516.0
"Grand Forks, ND","Las Vegas, NV",1230.0
"Pasco/Kennewick/Richland, WA","Phoenix, AZ",977.0
"Phoenix, AZ","Provo, UT",468.0
"Columbus, OH","Fort Lauderdale, FL",973.0
"Bismarck/Mandan, ND","Phoenix, AZ",1094.0
"Houston, TX","Knoxville, TN",771.0
"Bristol/Johnson City/Kingsport, TN","Sanford, FL",535.0
"Phoenix, AZ","Tulsa, OK",935.0
"Cincinnati, OH","Sarasota/Bradenton, FL",812.0
"Key West, FL","Nashville, TN",849.0
"Las Vegas, NV","Valparaiso, FL",1695.0
"Boise, ID","Las Vegas, NV",519.0
"Austin, TX","Sioux Falls, SD",925.0
"Rockford, IL","St. Petersburg, FL",1049.0
"Punta Gorda, FL","St. Cloud, MN",1447.0
"Harrisburg, PA","Sanford, FL",827.0
"Asheville, NC","Key West, FL",751.0
"Grand Forks, ND","Sanford, FL",1573.0
"Elmira/Corning, NY","St. Petersburg, FL",1035.0
"Newburgh/Poughkeepsie, NY","Punta Gorda, FL",1101.0
"Flint, MI","Las Vegas, NV",1733.0
"Jacksonville, FL","Nashville, TN",483.0
"Plattsburgh, NY","St. Petersburg, FL",1262.0
"Grand Rapids, MI","Las Vegas, NV",1642.0
"Flint, MI","Punta Gorda, FL",1111.0
"Fargo, ND","Sanford, FL",1508.0
"Las Vegas, NV","Sioux Falls, SD",1104.0
"Ashland, WV","St. Petersburg, FL",721.0
"Niagara Falls, NY","Sanford, FL",996.0
"Cincinnati, OH","Sanford, FL",735.0
"Appleton, WI","Punta Gorda, FL",1250.0
"Omaha, NE","Sanford, FL",1195.0
"Phoenix, AZ","Springfield, MO",1066.0
"Chicago, IL","Punta Gorda, FL",1076.0
"Rockford, IL","Sarasota/Bradenton, FL",1085.0
"Indianapolis, IN","Sanford, FL",807.0
"Las Vegas, NV","Minot, ND",1098.0
"South Bend, IN","St. Petersburg, FL",973.0
"Fort Wayne, IN","Sanford, FL",870.0
"Sarasota/Bradenton, FL","Tulsa, OK",990.0
"Sanford, FL","Wichita, KS",1117.0
"Phoenix, AZ","Springfield, IL",1299.0
"Concord, NC","Melbourne, FL",502.0
"Eugene, OR","Phoenix, AZ",952.0
"Appleton, WI","Phoenix, AZ",1452.0
"Indianapolis, IN","West Palm Beach/Palm Beach, FL",967.0
"Cincinnati, OH","New Orleans, LA",701.0
"Phoenix, AZ","Santa Ana, CA",338.0
"Memphis, TN","Sanford, FL",671.0
"Cincinnati, OH","Key West, FL",1013.0
"Austin, TX","Memphis, TN",559.0
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",1319.0
"Columbus, OH","St. Petersburg, FL",821.0
"Idaho Falls, ID","Phoenix, AZ",695.0
"Austin, TX","Sanford, FL",994.0
"Cincinnati, OH","Savannah, GA",515.0
"Indianapolis, IN","Punta Gorda, FL",916.0
"Asheville, NC","Sarasota/Bradenton, FL",554.0
"Rockford, IL","Sanford, FL",1025.0
"Des Moines, IA","Palm Springs, CA",1355.0
"Las Vegas, NV","Peoria, IL",1413.0
"Flint, MI","Sarasota/Bradenton, FL",1075.0
"Allentown/Bethlehem/Easton, PA","Sarasota/Bradenton, FL",1000.0
"Phoenix, AZ","Spokane, WA",1020.0
"Newburgh/Poughkeepsie, NY","St. Petersburg, FL",1055.0
"Minot, ND","Phoenix, AZ",1164.0
"Belleville, IL","Sarasota/Bradenton, FL",876.0
"Fort Lauderdale, FL","Knoxville, TN",709.0
"Las Vegas, NV","Rockford, IL",1455.0
"Louisville, KY","Punta Gorda, FL",806.0
"Boise, ID","Santa Ana, CA",688.0
"Great Falls, MT","Las Vegas, NV",811.0
"Houston, TX","Phoenix, AZ",1009.0
"Bellingham, WA","Las Vegas, NV",954.0
"Roanoke, VA","St. Petersburg, FL",668.0
"Peoria, IL","Punta Gorda, FL",1045.0
"Jacksonville, FL","Pittsburgh, PA",694.0
"Grand Rapids, MI","Sanford, FL",1001.0
"Columbus, OH","Sanford, FL",767.0
"Austin, TX","Provo, UT",1051.0
"Belleville, IL","Phoenix, AZ",1272.0
"Asheville, NC","Houston, TX",843.0
"Greer, SC","St. Petersburg, FL",482.0
"Norfolk, VA","St. Petersburg, FL",726.0
"Asheville, NC","Newark, NJ",583.0
"Cincinnati, OH","St. Petersburg, FL",776.0
"Knoxville, TN","Punta Gorda, FL",624.0
"Indianapolis, IN","Sarasota/Bradenton, FL",876.0
"Fort Wayne, IN","Las Vegas, NV",1649.0
"Fort Lauderdale, FL","Norfolk, VA",781.0
"Punta Gorda, FL","Springfield, IL",994.0
"Sanford, FL","Toledo, OH",895.0
"Grand Junction, CO","Santa Ana, CA",641.0
"Omaha, NE","Phoenix, AZ",1037.0
"Des Moines, IA","Houston, TX",802.0
"Grand Rapids, MI","Valparaiso, FL",857.0
"Lexington, KY","Sanford, FL",667.0
"Flint, MI","Fort Lauderdale, FL",1182.0
"Sanford, FL","State College, PA",854.0
"St. Petersburg, FL","Syracuse, NY",1111.0
"Key West, FL","St. Petersburg, FL",238.0
"Lexington, KY","St. Petersburg, FL",707.0
"Baltimore, MD","Punta Gorda, FL",899.0
"Cleveland, OH","Sarasota/Bradenton, FL",967.0
"Bend/Redmond, OR","Las Vegas, NV",647.0
"Fayetteville, AR","Punta Gorda, FL",970.0
"Bristol/Johnson City/Kingsport, TN","St. Petersburg, FL",590.0
"Fort Lauderdale, FL","Indianapolis, IN",1005.0
"Bellingham, WA","Oakland, CA",764.0
"Fort Lauderdale, FL","Memphis, TN",851.0
"Fort Lauderdale, FL","Peoria, IL",1145.0
"Plattsburgh, NY","Sanford, FL",1175.0
"Fargo, ND","Nashville, TN",910.0
"Chattanooga, TN","Sanford, FL",490.0
"Grand Rapids, MI","Punta Gorda, FL",1118.0
"Punta Gorda, FL","Rochester, NY",1143.0
"Bangor, ME","St. Petersburg, FL",1394.0
"Austin, TX","Des Moines, IA",813.0
"Sanford, FL","Traverse City, MI",1126.0
"Bellingham, WA","Los Angeles, CA",1047.0
"Las Vegas, NV","Tulsa, OK",1076.0
"Punta Gorda, FL","Traverse City, MI",1245.0
"Boston, MA","Sarasota/Bradenton, FL",1220.0
"Great Falls, MT","Phoenix, AZ",978.0
"Grand Junction, CO","Las Vegas, NV",420.0
"Boise, ID","Los Angeles, CA",674.0
"Nashville, TN","Pittsburgh, PA",462.0
"Las Vegas, NV","Monterey, CA",375.0
"Grand Rapids, MI","Phoenix, AZ",1574.0
"Ogden, UT","Phoenix, AZ",544.0
"Little Rock, AR","Sanford, FL",765.0
"Springfield, MO","St. Petersburg, FL",895.0
"Allentown/Bethlehem/Easton, PA","St. Petersburg, FL",970.0
"Nashville, TN","Richmond, VA",527.0
"Grand Island, NE","Phoenix, AZ",905.0
"Minneapolis, MN","Valparaiso, FL",1058.0
"Des Moines, IA","Phoenix, AZ",1138.0
"Pittsburgh, PA","Sarasota/Bradenton, FL",912.0
"Amarillo, TX","Phoenix, AZ",584.0
"Concord, NC","Sanford, FL",457.0
"Baltimore, MD","Sarasota/Bradenton, FL",880.0
"Appleton, WI","St. Petersburg, FL",1173.0
"Fayetteville, AR","Fort Lauderdale, FL",1092.0
"Sanford, FL","South Bend, IN",936.0
"Provo, UT","St. Petersburg, FL",1857.0
"Punta Gorda, FL","South Bend, IN",1049.0
"Appleton, WI","Sanford, FL",1141.0
"St. Petersburg, FL","Traverse City, MI",1172.0
"Greer, SC","Sanford, FL",425.0
"Laredo, TX","Las Vegas, NV",1092.0
"Knoxville, TN","Sarasota/Bradenton, FL",586.0
"Asheville, NC","Austin, TX",950.0
"Las Vegas, NV","South Bend, IN",1594.0
"Bloomington/Normal, IL","St. Petersburg, FL",936.0
"Fayetteville, AR","Phoenix, AZ",1006.0
"Boston, MA","Valparaiso, FL",1187.0
"Nashville, TN","Sanford, FL",598.0
"Knoxville, TN","Las Vegas, NV",1739.0
"Boston, MA","Knoxville, TN",830.0
"Fort Lauderdale, FL","Louisville, KY",895.0
"Columbus, OH","Sarasota/Bradenton, FL",869.0
"Belleville, IL","Valparaiso, FL",587.0
"Fort Lauderdale, FL","Sioux Falls, SD",1526.0
"Grand Rapids, MI","Nashville, TN",470.0
"Austin, TX","Louisville, KY",876.0
"Fayetteville, AR","Sanford, FL",920.0
"Billings, MT","Phoenix, AZ",873.0
"Newark, NJ","Valparaiso, FL",988.0
"Eugene, OR","Oakland, CA",445.0
"Idaho Falls, ID","Las Vegas, NV",538.0
"Richmond, VA","St. Petersburg, FL",731.0
"Medford, OR","Phoenix, AZ",854.0
"Sanford, FL","Tulsa, OK",995.0
"Kansas City, MO","Punta Gorda, FL",1126.0
"Des Moines, IA","Nashville, TN",530.0
"Phoenix, AZ","Pittsburgh, PA",1814.0
"Las Vegas, NV","Medford, OR",600.0
"Cincinnati, OH","Newark, NJ",569.0
"Asheville, NC","Boston, MA",783.0
"Cincinnati, OH","Valparaiso, FL",600.0
"Newark, NJ","Savannah, GA",708.0
"Bismarck/Mandan, ND","Las Vegas, NV",1048.0
"Boise, ID","Phoenix, AZ",735.0
"Fort Lauderdale, FL","Lexington, KY",865.0
"Grand Forks, ND","Phoenix, AZ",1260.0
"Kansas City, MO","St. Petersburg, FL",1045.0
"Bellingham, WA","Palm Springs, CA",1078.0
"Provo, UT","Santa Ana, CA",565.0
"Fayetteville, AR","Houston, TX",438.0
"Albany, NY","Sanford, FL",1049.0
"Owensboro, KY","Sanford, FL",706.0
"Belleville, IL","Fort Lauderdale, FL",1028.0
"Peoria, IL","Sarasota/Bradenton, FL",1001.0
"Cedar Rapids/Iowa City, IA","Sarasota/Bradenton, FL",1125.0
"Louisville, KY","Sanford, FL",698.0
"Fort Lauderdale, FL","Syracuse, NY",1197.0
"Sarasota/Bradenton, FL","Syracuse, NY",1142.0
"Roanoke, VA","Sanford, FL",594.0
"Phoenix, AZ","South Bend, IN",1501.0
"Fort Lauderdale, FL","Grand Rapids, MI",1198.0
"Louisville, KY","St. Petersburg, FL",729.0
"Des Moines, IA","St. Petersburg, FL",1126.0
"Cedar Rapids/Iowa City, IA","Punta Gorda, FL",1170.0
"Missoula, MT","Santa Ana, CA",935.0
"Chicago, IL","Knoxville, TN",475.0
"Albuquerque, NM","Las Vegas, NV",486.0
"Grand Junction, CO","Phoenix, AZ",438.0
"Cincinnati, OH","Jacksonville, FL",613.0
"Elmira/Corning, NY","Sanford, FL",954.0
"Amarillo, TX","Austin, TX",418.0
"Little Rock, AR","St. Petersburg, FL",734.0
"Asheville, NC","West Palm Beach/Palm Beach, FL",620.0
"Santa Ana, CA","Spokane, WA",962.0
"Elmira/Corning, NY","Punta Gorda, FL",1090.0
"Albany, NY","Punta Gorda, FL",1185.0
"Richmond, VA","Sanford, FL",643.0
"Sanford, FL","Springfield, MO",914.0
"Belleville, IL","Las Vegas, NV",1400.0
"Billings, MT","Las Vegas, NV",754.0
"Bozeman, MT","Nashville, TN",1435.0
"Clarksburg/Fairmont, WV","Sanford, FL",727.0
"Greensboro/High Point, NC","St. Petersburg, FL",587.0
"Mission/McAllen/Edinburg, TX","Sanford, FL",1059.0
"Melbourne, FL","Nashville, TN",656.0
"Omaha, NE","St. Petersburg, FL",1188.0
"Austin, TX","Grand Rapids, MI",1103.0
"Austin, TX","West Palm Beach/Palm Beach, FL",1096.0
"Portsmouth, NH","Punta Gorda, FL",1279.0
"Houston, TX","Provo, UT",1181.0
"Phoenix, AZ","Stockton, CA",603.0
"Fayetteville, AR","St. Petersburg, FL",892.0
"Appleton, WI","Nashville, TN",570.0
"Des Moines, IA","Fort Lauderdale, FL",1315.0
"Des Moines, IA","Los Angeles, CA",1447.0
"Bangor, ME","Fort Lauderdale, FL",1438.0
"Nashville, TN","Peoria, IL",353.0
"Kalispell, MT","Las Vegas, NV",845.0
"Belleville, IL","St. Petersburg, FL",841.0
"Sanford, FL","Syracuse, NY",1029.0
"Mission/McAllen/Edinburg, TX","Nashville, TN",967.0
"Austin, TX","Springfield, MO",545.0
"Pittsburgh, PA","St. Petersburg, FL",878.0
"Denver, CO","Peoria, IL",793.0
"Hagerstown, MD","St. Petersburg, FL",861.0
"Des Moines, IA","Sarasota/Bradenton, FL",1160.0
"Allentown/Bethlehem/Easton, PA","Nashville, TN",685.0
"Indianapolis, IN","Jacksonville, FL",687.0
"Moline, IL","St. Petersburg, FL",1033.0
"Allentown/Bethlehem/Easton, PA","Fort Lauderdale, FL",1041.0
"Austin, TX","Tulsa, OK",426.0
"Charleston, SC","Pittsburgh, PA",524.0
"Richmond, VA","Sarasota/Bradenton, FL",760.0
"Norfolk, VA","Sanford, FL",631.0
"Chattanooga, TN","St. Petersburg, FL",513.0
"Grand Rapids, MI","Los Angeles, CA",1874.0
"Nashville, TN","Syracuse, NY",741.0
"Newburgh/Poughkeepsie, NY","Sanford, FL",965.0
"Cleveland, OH","Punta Gorda, FL",999.0
"Charleston, SC","Cincinnati, OH",497.0
"Phoenix, AZ","Traverse City, MI",1599.0
"Los Angeles, CA","Shreveport, LA",1425.0
"Knoxville, TN","Newark, NJ",631.0
"Los Angeles, CA","Tulsa, OK",1283.0
"Asheville, NC","Baltimore, MD",414.0
"Amarillo, TX","Las Vegas, NV",758.0
"Honolulu, HI","Las Vegas, NV",2762.0
"Honolulu, HI","San Francisco, CA",2398.0
"Honolulu, HI","San Diego, CA",2614.0
"Honolulu, HI","Sacramento, CA",2462.0
"Kahului, HI","Oakland, CA",2349.0
"Honolulu, HI","Portland, OR",2603.0
"Kahului, HI","Las Vegas, NV",2695.0
"Honolulu, HI","Phoenix, AZ",2917.0
"Kahului, HI","San Diego, CA",2541.0
"Kahului, HI","Portland, OR",2562.0
"Kahului, HI","San Francisco, CA",2338.0
"Honolulu, HI","San Jose, CA",2417.0
"Kahului, HI","San Jose, CA",2355.0
"Honolulu, HI","Oakland, CA",2409.0
"Honolulu, HI","New York, NY",4983.0
"Kahului, HI","Sacramento, CA",2404.0
"Lihue, HI","Oakland, CA",2457.0
"Honolulu, HI","Long Beach, CA",2569.0
"Kahului, HI","Long Beach, CA",2498.0
"Honolulu, HI","Ontario, CA",2603.0
"Austin, TX","Honolulu, HI",3764.0
"Honolulu, HI","Orlando, FL",4757.0
"Boston, MA","Honolulu, HI",5095.0
"Hilo, HI","Honolulu, HI",216.0
"Honolulu, HI","Lihue, HI",102.0
"Honolulu, HI","Kahului, HI",100.0
"Honolulu, HI","Kona, HI",163.0
"Hilo, HI","Kahului, HI",121.0
"Kahului, HI","Kona, HI",84.0
"Kahului, HI","Lihue, HI",201.0
"Kona, HI","Lihue, HI",263.0
"Honolulu, HI","Pago Pago, TT",2599.0
"Dallas/Fort Worth, TX","Garden City, KS",404.0
"Columbia, SC","Dallas/Fort Worth, TX",922.0
"Charleston, SC","Dallas/Fort Worth, TX",987.0
"Chicago, IL","Hayden, CO",1009.0
"Jacksonville, FL","Miami, FL",335.0
"Dallas/Fort Worth, TX","Kansas City, MO",460.0
"Dallas/Fort Worth, TX","Evansville, IN",642.0
"Cincinnati, OH","Washington, DC",388.0
"Chicago, IL","Cincinnati, OH",249.0
"Miami, FL","Pensacola, FL",530.0
"Dallas/Fort Worth, TX","Fayetteville, AR",280.0
"Knoxville, TN","Miami, FL",724.0
"Chicago, IL","Des Moines, IA",299.0
"Dallas/Fort Worth, TX","Harrisburg, PA",1231.0
"Chicago, IL","Fargo, ND",557.0
"Dallas/Fort Worth, TX","Midland/Odessa, TX",309.0
"Chicago, IL","Rochester, NY",523.0
"Chicago, IL","New Orleans, LA",837.0
"Austin, TX","Chicago, IL",972.0
"Des Moines, IA","Miami, FL",1327.0
"Dallas/Fort Worth, TX","Tyler, TX",102.0
"Chicago, IL","Toledo, OH",213.0
"Hartford, CT","Washington, DC",325.0
"Dallas/Fort Worth, TX","Tallahassee, FL",767.0
"Chicago, IL","Raleigh/Durham, NC",632.0
"Dallas/Fort Worth, TX","Springfield, MO",364.0
"Chicago, IL","Greensboro/High Point, NC",589.0
"Brownsville, TX","Dallas/Fort Worth, TX",482.0
"Buffalo, NY","Dallas/Fort Worth, TX",1212.0
"Dallas/Fort Worth, TX","Manhattan/Ft. Riley, KS",431.0
"Chicago, IL","Manhattan/Ft. Riley, KS",501.0
"Chicago, IL","Sioux Falls, SD",462.0
"Chicago, IL","Indianapolis, IN",177.0
"Dallas/Fort Worth, TX","Lake Charles, LA",295.0
"Chicago, IL","Montrose/Delta, CO",1081.0
"Baton Rouge, LA","Dallas/Fort Worth, TX",383.0
"Bloomington/Normal, IL","Chicago, IL",116.0
"Chicago, IL","Mosinee, WI",213.0
"Dallas/Fort Worth, TX","Longview, TX",140.0
"Dallas/Fort Worth, TX","Laredo, TX",396.0
"Gainesville, FL","Miami, FL",294.0
"Dallas/Fort Worth, TX","Gulfport/Biloxi, MS",500.0
"Dallas/Fort Worth, TX","Lafayette, LA",351.0
"Chicago, IL","Green Bay, WI",173.0
"Columbus, OH","Miami, FL",990.0
"Chicago, IL","Evansville, IN",272.0
"Chicago, IL","Columbus, OH",283.0
"Chicago, IL","Madison, WI",108.0
"Kansas City, MO","Washington, DC",926.0
"Chicago, IL","Little Rock, AR",552.0
"Key West, FL","Miami, FL",126.0
"Charleston, SC","Miami, FL",489.0
"Dallas/Fort Worth, TX","Killeen, TX",134.0
"Dallas/Fort Worth, TX","Wichita Falls, TX",113.0
"Miami, FL","Milwaukee, WI",1258.0
"Dallas/Fort Worth, TX","Grand Rapids, MI",931.0
"Champaign/Urbana, IL","Chicago, IL",135.0
"Buffalo, NY","Chicago, IL",474.0
"Chicago, IL","Peoria, IL",130.0
"Dallas/Fort Worth, TX","Madison, WI",821.0
"Baltimore, MD","Chicago, IL",622.0
"Boise, ID","Dallas/Fort Worth, TX",1272.0
"Cedar Rapids/Iowa City, IA","Chicago, IL",196.0
"Madison, WI","Miami, FL",1300.0
"Dallas/Fort Worth, TX","Stillwater, OK",225.0
"Dallas/Fort Worth, TX","Little Rock, AR",304.0
"Chicago, IL","Tulsa, OK",583.0
"Miami, FL","Oklahoma City, OK",1222.0
"Dallas/Fort Worth, TX","Harlingen/San Benito, TX",461.0
"Dallas/Fort Worth, TX","Waco, TX",89.0
"Chicago, IL","Hartford, CT",776.0
"Chicago, IL","Grand Rapids, MI",137.0
"Abilene, TX","Dallas/Fort Worth, TX",158.0
"Chicago, IL","Houston, TX",917.0
"Fayetteville, AR","Miami, FL",1099.0
"Chicago, IL","Kalamazoo, MI",122.0
"Dallas/Fort Worth, TX","Greer, SC",862.0
"Kansas City, MO","Miami, FL",1251.0
"Chicago, IL","Wichita, KS",588.0
"Chicago, IL","Memphis, TN",480.0
"Dallas/Fort Worth, TX","Jackson/Vicksburg, MS",408.0
"Chicago, IL","Greer, SC",577.0
"Dallas/Fort Worth, TX","Mission/McAllen/Edinburg, TX",469.0
"Chicago, IL","Waterloo, IA",234.0
"Dallas/Fort Worth, TX","Savannah, GA",925.0
"Dallas/Fort Worth, TX","Fort Smith, AR",227.0
"Dallas/Fort Worth, TX","Huntsville, AL",603.0
"Chicago, IL","La Crosse, WI",215.0
"Little Rock, AR","Washington, DC",888.0
"Dallas/Fort Worth, TX","Lawton/Fort Sill, OK",140.0
"Dallas/Fort Worth, TX","Del Rio, TX",335.0
"Dallas/Fort Worth, TX","Tulsa, OK",237.0
"Cincinnati, OH","Dallas/Fort Worth, TX",812.0
"Alexandria, LA","Dallas/Fort Worth, TX",285.0
"Miami, FL","Pittsburgh, PA",1013.0
"Greensboro/High Point, NC","Miami, FL",710.0
"Chattanooga, TN","Dallas/Fort Worth, TX",695.0
"Dallas/Fort Worth, TX","Lexington, KY",785.0
"Dallas/Fort Worth, TX","Greensboro/High Point, NC",999.0
"Chicago, IL","Dubuque, IA",147.0
"Austin, TX","Jacksonville, FL",954.0
"Chicago, IL","Fort Wayne, IN",157.0
"Houston, TX","Miami, FL",955.0
"Austin, TX","Dallas/Fort Worth, TX",190.0
"Corpus Christi, TX","Dallas/Fort Worth, TX",354.0
"College Station/Bryan, TX","Dallas/Fort Worth, TX",164.0
"Chicago, IL","Richmond, VA",629.0
